id,Function_name,description_en,Category,syntax_en,example_en,Tutorial_1,Tutorial_2,Tutorial_3,Tutorial_4
1,ABS,Returns the absolute value of a number,Math and trigonometry,ABS(number),=ABS(-250),Report financial losses as absolute values.,Calculate absolute errors in predictions.,Measure deviations from a target value.,Track magnitude of stock price changes.
2,ACCRINT,Returns the accrued interest for a security that pays periodic interest,Financial,"ACCRINT(issue, first_interest, settlement, rate, par, frequency, [basis], [calc_method])","=ACCRINT(""1-Jan-23"",""1-Jul-23"",""1-Mar-23"",0.05,1000,2)",Calculate accrued interest on corporate bonds.,Determine interest payable on investment bonds.,Compute partial-period interest accrual.,Evaluate interest earnings for accounting purposes.
3,ACCRINTM,Returns the accrued interest for a security that pays interest at maturity,Financial,"ACCRINTM(issue, settlement, rate, par, [basis])","=ACCRINTM(""1-Jan-23"",""1-Jun-23"",0.04,1000)",Compute accrued interest for maturity-date bonds.,Evaluate total interest income at bond maturity.,Manage accounting entries for bonds.,Track expected returns from fixed-income securities.
4,ACOS,Returns the arccosine of a number,Math and trigonometry,ACOS(number),=ACOS(0.5),Calculate angle from cosine value.,Solve geometry problems involving angles.,Use in engineering for calculating angles.,Analyze trigonometric ratios in data.
5,ACOSH,Returns the inverse hyperbolic cosine of a number,Math and trigonometry,ACOSH(number),=ACOSH(10),Solve hyperbolic geometry problems.,Analyze engineering or physics computations.,Apply to advanced math modeling.,Use in electrical engineering calculations.
6,ACOT,Returns the arccotangent of a number,Math and trigonometry,ACOT(number),=ACOT(1),Compute angles from cotangent ratios.,Solve inverse trigonometric problems.,Engineering angle computations.,Analyze data in trigonometric analysis.
7,ACOTH,Returns the hyperbolic arccotangent of a number,Math and trigonometry,ACOTH(number),=ACOTH(2),Evaluate inverse hyperbolic cotangent.,Mathematical modeling for complex data.,Engineering calculations with hyperbolic functions.,Advanced statistics and calculus scenarios.
8,ADDRESS,Returns a reference as text to a single cell in a worksheet,Lookup and reference,"ADDRESS(row_num, column_num, [abs_num], [A1], [sheet])","=ADDRESS(2,3)",Create cell references dynamically.,Construct references for report automation.,Dynamically link multiple sheets.,Generate summary sheets with cell addresses.
9,AGGREGATE,Returns an aggregate in a list or database,Math and trigonometry,"AGGREGATE(function_num, options, ref1, [ref2],...)","=AGGREGATE(9,4,A1:A7)",Sum values ignoring hidden rows.,Find averages excluding errors.,Determine min/max while ignoring error values.,Aggregate data for filtered records only.
10,AMORDEGRC,Returns the depreciation for each accounting period by using a depreciation coefficient,Financial,"AMORDEGRC(cost, date_purchased, first_period, salvage, period, rate, [basis])","=AMORDEGRC(10000,""1-Jan-23"",""31-Dec-23"",2000,1,0.1)",Depreciate asset cost each period.,Manage fixed-asset accounting depreciation.,Schedule equipment depreciation expenses.,Financial reporting for asset lifecycle.
